Local time,Open,High,Low,Close,Volume
24.11.2003 01:30:00.000 GMT+0330,395.237,395.938,389.313,390.733,8979944.001999998
25.11.2003 01:30:00.000 GMT+0330,390.998,392.698,388.593,390.257,9353401.8955
26.11.2003 01:30:00.000 GMT+0330,390.795,400.295,389.824,395.623,8861622.9888
27.11.2003 01:30:00.000 GMT+0330,395.918,396.798,394.283,394.493,4429647.9727
28.11.2003 01:30:00.000 GMT+0330,394.798,398.598,393.741,397.698,5936943.9856
29.11.2003 01:30:00.000 GMT+0330,397.698,397.698,397.698,397.698,0
30.11.2003 01:30:00.000 GMT+0330,397.698,397.698,397.698,397.698,0
01.12.2003 01:30:00.000 GMT+0330,397.095,402.968,395.853,401.240,10093820.9491
02.12.2003 01:30:00.000 GMT+0330,401.488,405.395,398.170,402.525,9793038.9785
03.12.2003 01:30:00.000 GMT+0330,402.449,404.395,400.284,404.052,10131170.9768
04.12.2003 01:30:00.000 GMT+0330,403.833,404.498,398.832,401.842,11117657.933400001
05.12.2003 01:30:00.000 GMT+0330,402.295,406.098,398.794,405.624,8292435.981299999
06.12.2003 01:30:00.000 GMT+0330,405.624,405.624,405.624,405.624,0
07.12.2003 01:30:00.000 GMT+0330,405.624,405.624,405.624,405.624,0
08.12.2003 01:30:00.000 GMT+0330,405.384,408.873,403.938,406.436,9888604.0262
09.12.2003 01:30:00.000 GMT+0330,406.236,409.098,404.678,407.798,10019871.091500001
10.12.2003 01:30:00.000 GMT+0330,407.369,411.598,404.091,404.788,10455648.0796
11.12.2003 01:30:00.000 GMT+0330,404.934,406.098,401.575,404.322,11475961.024099998
12.12.2003 01:30:00.000 GMT+0330,404.498,408.995,403.606,408.398,8064533.051
13.12.2003 01:30:00.000 GMT+0330,408.398,408.398,408.398,408.398,0
14.12.2003 01:30:00.000 GMT+0330,408.398,408.398,408.398,408.398,0
15.12.2003 01:30:00.000 GMT+0330,408.196,410.296,400.767,408.996,10711503.011999998
16.12.2003 01:30:00.000 GMT+0330,409.359,409.998,405.763,406.525,9814686.9688
17.12.2003 01:30:00.000 GMT+0330,406.407,412.598,405.744,412.098,10731019.0947
18.12.2003 01:30:00.000 GMT+0330,411.885,412.198,406.632,410.048,11113770.984199999
19.12.2003 01:30:00.000 GMT+0330,410.048,410.798,406.565,408.898,8331276.9712000005
20.12.2003 01:30:00.000 GMT+0330,408.898,408.898,408.898,408.898,0
21.12.2003 01:30:00.000 GMT+0330,408.898,408.898,408.898,408.898,0
22.12.2003 01:30:00.000 GMT+0330,408.898,411.126,406.799,409.112,9216869.9653
23.12.2003 01:30:00.000 GMT+0330,409.132,410.698,407.868,409.819,8384323.9511
24.12.2003 01:30:00.000 GMT+0330,410.198,412.248,409.437,411.598,5468677.924899999
25.12.2003 01:30:00.000 GMT+0330,411.229,411.598,410.871,411.355,1014386.0039000001
26.12.2003 01:30:00.000 GMT+0330,411.194,412.798,409.647,411.384,1966699.0080000001
27.12.2003 01:30:00.000 GMT+0330,411.384,411.384,411.384,411.384,0
28.12.2003 01:30:00.000 GMT+0330,411.384,411.384,411.384,411.384,0
29.12.2003 01:30:00.000 GMT+0330,411.411,415.098,410.840,413.815,9179276.993399998
30.12.2003 01:30:00.000 GMT+0330,413.452,416.698,413.285,415.798,9642437.921999998
31.12.2003 01:30:00.000 GMT+0330,415.795,417.298,413.197,415.395,6832236.971799999
01.01.2004 01:30:00.000 GMT+0330,415.024,415.398,414.250,414.643,715331.9948999999
02.01.2004 01:30:00.000 GMT+0330,414.887,416.098,413.867,415.395,3906643.968
03.01.2004 01:30:00.000 GMT+0330,415.395,415.395,415.395,415.395,0
04.01.2004 01:30:00.000 GMT+0330,415.395,415.395,415.395,415.395,0
05.01.2004 01:30:00.000 GMT+0330,414.278,423.981,414.096,422.935,10371745.023699999
06.01.2004 01:30:00.000 GMT+0330,423.198,430.178,420.078,421.898,11123839.002300002
07.01.2004 01:30:00.000 GMT+0330,421.415,424.121,418.974,419.574,11764240.916700002
08.01.2004 01:30:00.000 GMT+0330,420.098,424.798,416.270,423.298,12678827.0063
09.01.2004 01:30:00.000 GMT+0330,423.012,426.897,419.427,425.404,9364902.8856
10.01.2004 01:30:00.000 GMT+0330,425.404,425.404,425.404,425.404,0
11.01.2004 01:30:00.000 GMT+0330,425.404,425.404,425.404,425.404,0
12.01.2004 01:30:00.000 GMT+0330,426.498,428.459,422.219,423.999,10668977.919899998
13.01.2004 01:30:00.000 GMT+0330,424.029,426.395,421.651,423.446,11178985.001600001
14.01.2004 01:30:00.000 GMT+0330,423.698,424.397,416.780,419.113,10840682.972099999
15.01.2004 01:30:00.000 GMT+0330,419.093,421.098,406.906,407.884,12171776.985900002
16.01.2004 01:30:00.000 GMT+0330,408.298,410.398,404.433,406.298,9468391.068200003
17.01.2004 01:30:00.000 GMT+0330,406.298,406.298,406.298,406.298,0
18.01.2004 01:30:00.000 GMT+0330,406.298,406.298,406.298,406.298,0
19.01.2004 01:30:00.000 GMT+0330,405.842,408.683,405.402,406.798,5698629.029099997
20.01.2004 01:30:00.000 GMT+0330,406.607,412.697,404.417,411.966,10619670.0205
21.01.2004 01:30:00.000 GMT+0330,412.175,412.910,406.721,409.998,10476853.9554
22.01.2004 01:30:00.000 GMT+0330,409.665,412.698,407.216,408.898,10203219.0114
23.01.2004 01:30:00.000 GMT+0330,408.898,412.297,405.461,407.398,8988398.976599999
24.01.2004 01:30:00.000 GMT+0330,407.398,407.398,407.398,407.398,0
25.01.2004 01:30:00.000 GMT+0330,407.398,407.398,407.398,407.398,0
26.01.2004 01:30:00.000 GMT+0330,407.398,408.621,402.928,403.321,10165719.067799998
27.01.2004 01:30:00.000 GMT+0330,403.534,411.704,401.995,409.604,10842563.029399998
28.01.2004 01:30:00.000 GMT+0330,409.627,414.468,406.939,409.378,10599936.984299999
29.01.2004 01:30:00.000 GMT+0330,409.825,410.793,395.813,398.759,10538913.9728
30.01.2004 01:30:00.000 GMT+0330,398.491,402.182,397.599,401.827,9571492.902999999
31.01.2004 01:30:00.000 GMT+0330,401.827,401.827,401.827,401.827,0
01.02.2004 01:30:00.000 GMT+0330,401.827,401.827,401.827,401.827,0
02.02.2004 01:30:00.000 GMT+0330,401.734,403.147,393.543,397.412,8308649.986000001
03.02.2004 01:30:00.000 GMT+0330,397.894,403.108,397.394,399.198,9718051.9176
04.02.2004 01:30:00.000 GMT+0330,398.824,400.581,397.714,400.298,9375197.965499999
05.02.2004 01:30:00.000 GMT+0330,400.298,400.470,396.012,396.497,9606192.011300001
06.02.2004 01:30:00.000 GMT+0330,396.170,405.878,393.738,402.550,9562594.884100001
07.02.2004 01:30:00.000 GMT+0330,402.550,402.550,402.550,402.550,0
08.02.2004 01:30:00.000 GMT+0330,402.550,402.550,402.550,402.550,0
09.02.2004 01:30:00.000 GMT+0330,402.673,407.070,401.384,405.843,10824764.952900002
10.02.2004 01:30:00.000 GMT+0330,406.096,409.693,405.009,405.314,11254092.998699998
11.02.2004 01:30:00.000 GMT+0330,405.787,411.600,403.977,410.732,12259000.152400002
12.02.2004 01:30:00.000 GMT+0330,410.566,413.397,408.978,411.409,12483777.992500002
13.02.2004 01:30:00.000 GMT+0330,411.148,416.439,405.849,409.320,8446610.025000002
14.02.2004 01:30:00.000 GMT+0330,409.320,409.320,409.320,409.320,0
15.02.2004 01:30:00.000 GMT+0330,409.320,409.320,409.320,409.320,0
16.02.2004 01:30:00.000 GMT+0330,409.471,411.292,408.670,410.932,5429413.978799999
17.02.2004 01:30:00.000 GMT+0330,411.198,415.483,409.982,414.850,10765542.9972
18.02.2004 01:30:00.000 GMT+0330,415.089,416.243,408.744,410.075,10574188.945899999
19.02.2004 01:30:00.000 GMT+0330,410.171,412.157,406.931,409.355,12116029.001999998
20.02.2004 01:30:00.000 GMT+0330,409.294,411.068,393.367,396.859,9189549.014999999
21.02.2004 01:30:00.000 GMT+0330,396.859,396.859,396.859,396.859,0
22.02.2004 01:30:00.000 GMT+0330,396.859,396.859,396.859,396.859,0
23.02.2004 01:30:00.000 GMT+0330,397.696,399.813,395.401,397.821,11816554.921
24.02.2004 01:30:00.000 GMT+0330,398.195,404.098,397.044,402.921,11356775.8648
25.02.2004 01:30:00.000 GMT+0330,403.397,403.898,393.211,395.242,10979229.8693
26.02.2004 01:30:00.000 GMT+0330,395.356,397.198,389.965,394.597,13256865.009699998
27.02.2004 01:30:00.000 GMT+0330,394.344,397.518,390.985,395.495,10531363.963699998
28.02.2004 01:30:00.000 GMT+0330,395.495,395.495,395.495,395.495,0
29.02.2004 01:30:00.000 GMT+0330,395.495,395.495,395.495,395.495,0
01.03.2004 01:30:00.000 GMT+0330,395.798,402.390,395.138,399.020,11135239.9961
02.03.2004 01:30:00.000 GMT+0330,399.119,401.030,390.136,392.338,11038868.000500001
03.03.2004 01:30:00.000 GMT+0330,392.394,393.298,386.999,392.643,12784611.969800001
04.03.2004 01:30:00.000 GMT+0330,392.692,395.118,390.617,392.073,12814447.911399998
05.03.2004 01:30:00.000 GMT+0330,392.219,400.854,391.543,400.394,9711951.0491
06.03.2004 01:30:00.000 GMT+0330,400.394,400.394,400.394,400.394,0
07.03.2004 01:30:00.000 GMT+0330,400.394,400.394,400.394,400.394,0
08.03.2004 01:30:00.000 GMT+0330,400.401,400.998,397.560,400.591,11002868.932699999
09.03.2004 01:30:00.000 GMT+0330,400.442,405.703,399.288,401.934,11851494.949299997
10.03.2004 01:30:00.000 GMT+0330,402.523,404.074,396.711,399.300,12365787.921300001
11.03.2004 01:30:00.000 GMT+0330,399.103,402.594,396.215,402.100,13179388.042599998
12.03.2004 01:30:00.000 GMT+0330,402.397,402.471,394.001,394.597,10090169.894599998
